Nom Organisme;Court Organisme;Consultant;Synd;Nom Soc;Nom Client;Syndicat;Lib SectAct;Lib StatutPart;Nom Resp Org;Lib Civil;Court Civil;Adresse 1 Org;Adresse 2 Org;CP Org;Ville Org;Nom Pays;CP US;Tél Org;Fax Org;Site Org
MECELEC;MECELEC;FAUX;FAUX;MECELEC;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Route de Lamarche;BP 19;21270;VONGES;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;3 rue Henri Legay;;69100;VILLEURBANNE;FRANCE;FAUX;04 72 81 52 00;;
FRAMAFER;FRAMAFER;FAUX;FAUX;FRAMAFER;;Non adhérents = 999;;;;;;77 rue de la Gare;;57803;BENING-LES-SAINT-AVOLD;FRANCE;FAUX;03 87 29 22 00;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;209-211 rue de Bercy;;75585;PARIS Cedex 12;FRANCE;FAUX;01 53 25 60 00;;
SNCF Recherche;SNCF Recherche;FAUX;FAUX;SNCF;;SNCF Voyageurs = 102;;;;;;40 avenue des Terroirs de France;;75611;PARIS Cedex 12;FRANCE;FAUX;01 44 74 50 01;;
IDI COMPOSITES INT.EUROPE;IDI COMPOSITES;FAUX;FAUX;IDI COMPOSITES INT.EUROPE;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;126 rue Laennec;CS 97202;41354;VINEUIL Cedex;FRANCE;FAUX;02 54 55 55 54;;
REICHOLD;REICHOLD;FAUX;FAUX;REICHOLD;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;ZI Nord;;55400;ETAIN;FRANCE;FAUX;03 29 87 07 79;;
FS GROUP;FS GROUP;FAUX;FAUX;FRANCE SIGNALISATION (FS GROUP);;FIF = 101;;;;;;29 rue du Faubourg de Saverne;;67000;STRASBOURG;FRANCE;FAUX;03 88 24 98 30;;
NEOTEC DEVELOPPEMENT;NEOTEC;FAUX;FAUX;NEOTEC;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;275 impasse Umberti;;82710;BRESSOLS;FRANCE;FAUX;05 63 02 95 95;;
BASF;BASF;FAUX;FAUX;BASF;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Tech-B3;;77292;MITRY-MORY;FRANCE;FAUX;01 60 21 42 49;;
UNAC;UNAC;FAUX;FAUX;UNAC;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;Avenue de Camargues;ZI -  BP 9;30310;VERGEZE;FRANCE;FAUX;04 66 35 02 53;;
RUSTIN;RUSTIN;FAUX;FAUX;RUSTIN;;FIF = 101;;;;;;102 rue Percheron;;72340;LA CHARTRE-SUR-LOIR;FRANCE;FAUX;02 43 44 42 56;;
ACTIA TELECOM;ACTIA TELECOM;FAUX;FAUX;ACTIA TELECOM;;Non adhérents = 999;;;;;;Route de Mayres;Saint-Georges-de-Luzençon;12103;MILLAU Cedex;FRANCE;FAUX;05 65 62 37 40;;
GEISMAR;GEISMAR;FAUX;FAUX;GEISMAR;;Non adhérents = 999;;;;;;113bis avenue Charles de Gaulle;;92200;NEUILLY-SUR-SEINE;FRANCE;FAUX;01 41 43 40 40;;
CENTRE D'ESSAIS FERROVIAIRES;CEF;FAUX;FAUX;CENTRE D'ESSAIS FERROVIAIRES;;FIF = 101;;;;;;Rue Fresnel;;59494;PETITE-FORET;FRANCE;FAUX;03 27 32 46 94;;
NOVIUM;NOVIUM;FAUX;FAUX;NOVIUM;;FIF = 101;;;;;;2 rue des Chavannes;;71230;SAINT-VALLIER;FRANCE;FAUX;;;
ALPHACAN;ALPHACAN;FAUX;FAUX;ALPHACAN;;Non adhérents = 999;;;;;;52 avenue Monseigneur Batiot;;85110;CHANTONNAY;FRANCE;FAUX;02 51 48 50 50;;
CTF FRANCE;CTF FRANCE;FAUX;FAUX;CTF FRANCE;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;19 rue Pierre Josse;ZI Les Bordes;91070;BONDOUFLE;FRANCE;FAUX;01 69 91 48 00;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;19 rue l'Avalasse;;76008;ROUEN;FRANCE;FAUX;;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;71 rue des Ateliers;;37700;SAINT-PIERRE-DES-CORPS;FRANCE;FAUX;02 47 32 19 48;;
CNEP;CNEP;FAUX;FAUX;CNEP;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;1 avenue Bel Air;;91190;GIF-SUR-YVETTE;FRANCE;FAUX;;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;76 boulevard Magenta;;75010;PARIS;FRANCE;FAUX;;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;4 rue Ferrus;;75683;PARIS Cedex 14;FRANCE;FAUX;;;
SYSTRA;SYSTRA;FAUX;VRAI;SYSTRA;;SYSTRA = 204;;;;;;72 rue Henry Farman;;F-75513;PARIS Cedex 15;FRANCE;FAUX;01 40 16 61 00;;
MADER COMPOSITES;MADER COMPOSITE;FAUX;FAUX;MADER COMPOSITES;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;177 avenue des Frères Lumière;ZI du Fourniret;84700;SORGUES;FRANCE;FAUX;04 90 39 36 00;;
THE TIMKEN COMPANY;TIMKEN;FAUX;FAUX;THE TIMKEN COMPANY;;Non adhérents = 999;;;;;;2 rue Timken;;68002;COLMAR;FRANCE;FAUX;03 89 21 44 44;;
CMAR;CMAR;FAUX;FAUX;CMAR;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;3 rue Denis Papin;ZA Pont -Ramé;49430;DURTAL;FRANCE;FAUX;02 41 76 31 62;;
GEFCO;GEFCO;FAUX;FAUX;GEFCO;;AFWP = 201;;;;;;77-81 rue des Lilas d'Espagne;;92402;COURBEVOIE;FRANCE;FAUX;01 49 05 21 21;;
ALSTOM;ALSTOM;FAUX;FAUX;BOMBARDIER TRANSPORT;;FIF = 101;;;;;;Vaartdijkstraat 5;;B-8200;BRUGGE;BELGIQUE;FAUX;+32 50 40 18 56;;
FIMOR;FIMOR;FAUX;FAUX;FIMOR;;FIF = 101;;;;;;210 rue du Polygone;;72058;LE MANS;FRANCE;FAUX;02 43 40 66 00;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;9 rue Jean-Philippe Rameau;;93212;LA PLAINE SAINT-DENIS Cedex;FRANCE;FAUX;01 85 27 49 09;;
SIEMENS;SIEMENS;FAUX;FAUX;SIEMENS;;FIF = 101;;;;;;617 rue de Fourny;;78530;BUC;FRANCE;FAUX;01 30 84 66 00;;
KTK SEATS;KTK SEATS;FAUX;FAUX;SAIRA SEATS;;FIF = 101;;;;;;1 rue Amy Johnson;;42160;ANDREZIEUX-BOUTHEON;FRANCE;FAUX;04 77 50 53 00;;
VOSSLOH-COGIFER KIHN;VOSSLOH-COGIFER;FAUX;FAUX;VOSSLOH-COGIFER;;Non adhérents = 999;;;;;;17 rue de l'Usine;;L-3754;RUMELANGE;LUXEMBOURG;FAUX;56 47 71 1;;
COMPIN;COMPIN;FAUX;FAUX;COMPIN;;Non adhérents = 999;;;;;;1 rue Du Guesclin;ZI de Nétreville;27108;EVREUX;FRANCE;FAUX;02 32 33 92 00;;
DGITM;DGITM;FAUX;FAUX;MINISTERE DES TRANSPORTS;;Non adhérents = 999;;Puissance publique;;;;Arche Sud;;92055;PARIS-LA-DEFENSE Cedex;FRANCE;FAUX;01 40 81 21 22;;
LOHR INDUSTRIE;LOHR INDUSTRIE;FAUX;FAUX;LOHR INDUSTRIE;;FIF = 101;;;;;;Avenue de la Concorde;ZA de la Bruche;67120;DUPPIGHEIM;FRANCE;FAUX;;;
STRMTG;STRMTG;FAUX;VRAI;STRMTG;;STRMTG = 203;;;;;;1461 rue de la Piscine;;F-38400;SAINT-MARTIN-D'HERES;FRANCE;FAUX;+33 4 76 63 78 78;;
KNORR-BREMSE;KNORR-BREMSE;FAUX;FAUX;KNORR-BREMSE;;FIF = 101;;;;;;47-49 rue Gosset;;51722;REIMS Cedex;FRANCE;FAUX;03 26 79 72 00;;
GERFLOR;GERFLOR;FAUX;FAUX;GERFLOR;;FIF = 101;;;;;;43 boulevard Garibaldi;;69170;TARARE;FRANCE;FAUX;04 74 05 40 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;20 avenue de la Concorde;;67120;ERNOLSHEIM-SUR-BRUCHE;FRANCE;FAUX;;;
ENGIE SOLUTIONS;ENGIE SOLUTIONS;FAUX;FAUX;ENGIE SOLUTIONS;;Non adhérents = 999;;;;;;INEO UTS;38-42 rue Cuvier;93108;MONTREUIL Cedex;FRANCE;FAUX;03 80 54 32 07;;
BNTEC;BNTEC;FAUX;FAUX;BNTEC;;Non adhérents = 999;;Opérateur de normalisation;;;;10 rue du Débarcadère;;75017;PARIS;FRANCE;FAUX;01 40 69 52 59;;
ALFA-F;ALFA-F;FAUX;FAUX;ALFA-F;;SNCF Réseau = 104;;;;;;117-119 avenue du Général Leclerc;;77400;LAGNY-SUR-MARNE;FRANCE;FAUX;01 64 76 33 40;;
IFSTTAR;IFSTTAR;FAUX;FAUX;IFSTTAR;;Non adhérents = 999;;Etabl. publ. scientif. & tech.;;;;20 rue Elisée Reclus;;59666;VILLENEUVE-D'ASCQ;FRANCE;FAUX;03 20 43 83 43;;
Non adhérents;Non adhérents;FAUX;VRAI;BNF;;Non adhérents = 999;;;;;;;;;NC;FRANCE;FAUX;;;
SCHALTBAU FRANCE;SCHALTBAU;FAUX;FAUX;SCHALTBAU FRANCE;;FIF = 101;;;;;;10 rue Désiré Granet;;95104;ARGENTEUIL Cedex;FRANCE;FAUX;01 39 98 49 30;;
PORTALP France;PORTALP France;FAUX;FAUX;PORTALP;;Non adhérents = 999;;;;;;4 rue des Charpentiers;;95330;DOMONT;FRANCE;FAUX;04 76 26 07 42;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;12 avenue du Val de Fontenay;;94724;FONTENAY-SOUS-BOIS Cedex;FRANCE;FAUX;+33 1 58 78 20 20;;
TITAGAHR WAGONS AFR;TITAGAHR WAGONS;FAUX;FAUX;TITAGAHR WAGONS AFR;;AFWP = 201;;;;;;140 rue du Paradis;;59500;DOUAI;FRANCE;FAUX;03 27 93 49 49;;
HUTCHINSON;HUTCHINSON;FAUX;FAUX;HUTCHINSON;;Non adhérents = 999;;;;;;4 rue de Londres;;95340;PERSAN;FRANCE;FAUX;01 34 70 04 03;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;4 rue André Campra;CS 20012;93212;LA PLAINE SAINT-DENIS;FRANCE;FAUX;01 53 25 60 00;;
SIEMENS BT;SIEMENS BT;FAUX;FAUX;SIEMENS;;Non adhérents = 999;;;;;;11 rue Leinster;;44240;LA CHAPELLE-SUR-ERDRE;FRANCE;FAUX;;;
FAIVELEY TRANSPORT;FAIVELEY;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;Rue Amélia Earhart;ZI du Bois de Plante;37700;LA VILLE-AUX-DAMES;FRANCE;FAUX;+33 2 47 32 57 30;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;92 rue de Lagny;;75020;PARIS;FRANCE;FAUX;;;
ADETEL EQUIPMENT;ADETEL;FAUX;FAUX;ADETEL EQUIPMENT;;Non adhérents = 999;;;;;;2-4 chemin du Ruisseau;;69130;ECULLY;FRANCE;FAUX;04 72 18 08 40;;
ALSTOM GRID - TICC;ALSTOM GRID;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;129 avenue de Paris;;91371;MASSY Cedex;FRANCE;FAUX;01 69 53 48 12;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;19 rue Alfred de Musset;;69100;VILLEURBANNE;FRANCE;FAUX;04 72 81 52 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;33 rue des Bateliers;BP 165;93404;SAINT-OUEN Cedex;FRANCE;FAUX;01 41 10 62 62;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Rue du Docteur Guinier;BP 4;65601;SEMEAC Cedex;FRANCE;FAUX;05 62 37 21 21;;
BLUE SOLUTIONS;BLUE SOLUTIONS;FAUX;FAUX;BLUE SOLUTIONS;;Non adhérents = 999;;;;;;Lieu-dit Odet;CS 15005 Ergue Gaberic;29556;QUIMPER Cedex 9;FRANCE;FAUX;02 98 66 72 00;;
BUREAU VERITAS CERTIFICATION FRANCE;BUREAU VERITAS;FAUX;FAUX;BUREAU VERITAS;;Non adhérents = 999;;;;;;41 chemin des Peupliers;;69570;DARDILLY;FRANCE;FAUX;04 78 66 83 83;;
CEA GRENOBLE;CEA GRENOBLE;FAUX;FAUX;CEA;;Non adhérents = 999;;;;;;17 rue des Martyrs;CS 60085;38054;GRENOBLE Cedex 9;FRANCE;FAUX;04 76 46 31 04;;
DSG-CANUSA;DSG-CANUSA;FAUX;FAUX;DSG-CANUSA;;Non adhérents = 999;;;;;;5 impasse Clos Soleil;c/ M. J.-P. Costes;40530;LABENNE;FRANCE;FAUX;;;
FEDERAL MOGUL SPG SAS;FEDERAL MOGUL;FAUX;FAUX;FEDERAL MOGUL;;Non adhérents = 999;;;;;;69 rue Henri Laroche;BP 70216;60802;CREPY-EN-VALOIS Cedex;FRANCE;FAUX;03 44 94 48 48;;
GIMELEC;GIMELEC;FAUX;VRAI;GIMELEC;;FIEEC = 901;;;;;;11-17 rue de l’Amiral Hamelin;;75783;PARIS Cedex 16;FRANCE;FAUX;01 45 05 70 70;;
GRTGAZ;GRTGAZ;FAUX;FAUX;GRTGAZ;;Non adhérents = 999;;;;;;5 rue Ferdinand de Lesseps;BP 50309;60203;COMPIEGNE Cedex;FRANCE;FAUX;;;
IFSTTAR;IFSTTAR;FAUX;FAUX;IFSTTAR;;Non adhérents = 999;;Etabl. publ. scientif. & tech.;;;;25 allée des Marronniers;;78000;VERSAILLES;FRANCE;FAUX;01 30 84 40 44;;
INGEROP;INGEROP;FAUX;FAUX;INGEROP;;Non adhérents = 999;;;;;;17 chemin de la Dhuy;Immeuble le Massangis BP 167;38240;MEYLAN Cedex;FRANCE;FAUX;04 76 41 18 90;;
LEROY AUTOMATION;LEROY AUTOMATIO;FAUX;FAUX;LEROY AUTOMATION;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;250 rue Max Planck;;31670;LABEGE;FRANCE;FAUX;05 62 24 05 41;;
MERSEN FRANCE AMIENS SAS;MERSEN FRANCE;FAUX;FAUX;MERSEN FRANCE;;Non adhérents = 999;;;;;;10 rue Roger Dumoulin;CS 68005;80084;AMIENS Cedex 2;FRANCE;FAUX;03 22 54 45 00;;
MITSUBISHI ELECTRIC R&D CENTRE EUROPE;MITSUBISHI;FAUX;FAUX;MITSUBISHI ELECTRIC;;Non adhérents = 999;;;;;;1 allée de Beaulieu;BP 10806;35708;RENNES Cedex 7;FRANCE;FAUX;02 23 45 58 58;;
MORS SMITT FRANCE;MORS SMITT;FAUX;FAUX;MORS SMITT FRANCE (GROUPE WABTEC);;FIF = 101;;;;;;2 rue de la Mandinière;ZA du Pont;72300;SABLE-SUR-SARTHE;FRANCE;FAUX;02 43 92 82 00;;
NEXANS FRANCE;NEXANS;FAUX;FAUX;NEXANS FRANCE;;FIF = 101;;;;;;15 rue Lambin;;60120;PAILLART;FRANCE;FAUX;03 44 80 67 00;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;102 Esplanade de la Commune de Paris;Clos Marceau Mont d’Est;93167;NOISY-LE-GRAND Cedex;FRANCE;FAUX;01 43 03 92 86;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;16 rue Jean-Jacques Rousseau;;94120;FONTENAY-SOUS-BOIS;FRANCE;FAUX;;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;40bis rue Roger Salengro;;94724;FONTENAY-SOUS-BOIS Cedex;FRANCE;FAUX;01 58 78 20 20;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;56 rue Roger Salengro;;94724;FONTENAY-SOUS-BOIS Cedex;FRANCE;FAUX;09 61 32 26 32;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;54 rue Roger Salengro;ING/STF/QS/AQL;94724;FONTENAY-SOUS-BOIS Cedex;FRANCE;FAUX;01 58 77 01 94;;
RTE;RTE;FAUX;FAUX;RTE;;Non adhérents = 999;;;;;;1 terrasse Bellini;Tour Initiale TSA 41000;92919;PARIS-LA-DEFENSE Cedex;FRANCE;FAUX;01 79 24 80 00;;
SAFT;SAFT;FAUX;FAUX;SAFT;;FIF = 101;;;;;;Zone industrielle de Nersac;;16440;NERSAC;FRANCE;FAUX;05 45 90 50 26;;
SEDIVER;SEDIVER;FAUX;FAUX;SEDIVER;;Non adhérents = 999;;;;;;46 avenue de Thiers;;03270;SAINT-YORRE;FRANCE;FAUX;04 70 41 04 40;;
SETEC ITS;SETEC ITS;FAUX;FAUX;SETEC ITS;;FIF = 101;;;;;;42-52 Quai de la Rapée;Immeuble Central Seine CS 71230;75583;PARIS Cedex 12;FRANCE;FAUX;01 82 51 57 12;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;27 rue des Fusillés;UP Maintenance Les Ardoines;94407;VITRY-SUR-SEINE Cedex;FRANCE;FAUX;;;
SOURIAU;SOURIAU;FAUX;FAUX;SOURIAU;;FIEEC = 901;;;;;;9 rue Porte de Buc;CS 80715;78007;VERSAILLES Cedex;FRANCE;FAUX;01 30 84 77 89;;
SYSTEREL;SYSTEREL;FAUX;FAUX;SYSTEREL;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;3 rue Danton;;92240;MALAKOFF;FRANCE;FAUX;04 42 90 41 23;;
THALES SERVICES SAS;THALES SERVICES;FAUX;FAUX;THALES SERVICES;;FIF = 101;;;;;;20-22 rue Grange Dame Rose;CS 90519;78141;VELIZY-VILLACOUBLAY Cedex;FRANCE;FAUX;01 73 32 00 00;;
TPC;TPC;FAUX;FAUX;TPC;;Non adhérents = 999;;;;;;Avenue du Colonel Prat;;21850;SAINT-APOLLINAIRE;FRANCE;FAUX;03 80 71 74 00;;
TYCO ELECTRONICS FRANCE SAS;TYCO;FAUX;FAUX;TYCO ELECTRONICS FRANCE;;FIF = 101;;;;;;29 chaussée Jules César;ZI rue Ampère BP 30039;95301;CERGY-PONTOISE Cedex;FRANCE;FAUX;01 34 20 88 88;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;Direction de l'Ingénierie;6 avenue François Mitterrand;93500;LA PLAINE SAINT-DENIS;FRANCE;FAUX;01 53 25 60 00;;
SYSTRA;SYSTRA;FAUX;FAUX;SYSTRA;;SYSTRA = 204;;;;;;20 rue de La Villette;;69003;LYON;FRANCE;FAUX;;;
SYCABEL;SYCABEL;FAUX;VRAI;SYCABEL;;FIEEC = 901;;;;;;17 rue de l'Amiral Hamelin;;75116;PARIS;FRANCE;FAUX;01 47 64 68 10;;
BERTIN Technologies;BERTIN;FAUX;FAUX;BERTIN Technologies;;Non adhérents = 999;;;;;;Parc d'activités du Pas du Lac;10 bis avenue Marie André Ampère;78180;MONTIGNY-LE-BRETONNEUX;FRANCE;FAUX;01 39 30 62 60;;
COLAS RAIL;COLAS RAIL;FAUX;FAUX;COLAS RAIL;;FIF = 101;;;;;;17 rue du Petit Albi;;95800;CERGY-PONTOISE;FRANCE;FAUX;01 34 93 83 26;;
ELEKTEK C&I;ELEKTEK C&I;FAUX;FAUX;ELEKTEK C&I;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;11 Chemin de Marmonnière;;38690;TORCHEFELON;FRANCE;FAUX;04 74 83 40 72;;
MERSEN France SB;MERSEN France;FAUX;FAUX;MERSEN FRANCE;;Non adhérents = 999;;;;;;15 rue Jacques Vaucanson;;69720;SAINT-BONNET-DE-MURE;FRANCE;FAUX;04 72 22 66 11;;
FIEEC;FIEEC;FAUX;VRAI;FIEEC;;FIEEC = 901;;;;;;17 rue de l'Amiral Hamelin;;75783;PARIS Cedex 16;FRANCE;FAUX;01 45 05 70 70;;
HITACHI RAIL STS;HITACHI RAIL ST;FAUX;FAUX;ANSALDO STS FRANCE;;FIF = 101;;;;;;ZAC des Portes de Riom;;63200;RIOM;FRANCE;FAUX;04 73 67 15 15;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;34 rue du Commandant Mouchotte;;75014;PARIS;FRANCE;FAUX;01 53 25 70 45;;
ENERDIS;ENERDIS;FAUX;FAUX;ENERDIS;;Non adhérents = 999;;;;;;248 avenue des Grésillons;;92600;ASNIERES-SUR-SEINE;FRANCE;FAUX;01 47 91 06 13;;
ENERDIS;ENERDIS;FAUX;FAUX;ENERDIS;;Non adhérents = 999;;;;;;Parc de Haute technologie Antony II;16 rue Georges Besse;92160;ANTONY;FRANCE;FAUX;01 42 53 05 20;;
FAIVELEY TRANSPORT;FAIVELEY;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;3 rue du 19 mars 1962;Immeuble Clever - Hall Garden;92230;GENNEVILLIERS;FRANCE;FAUX;01 48 13 65 00;;
AMPHENOL AIR LB;AMPHENOL AIR LB;FAUX;FAUX;AMPHENOL AIR LB;;Non adhérents = 999;;;;;;2 rue Clément Ader;ZAC du Wé;08110;CARIGNAN;FRANCE;FAUX;03 24 22 78 49;;
FAIVELEY TRANSPORT;FAIVELEY;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;ZI Voie Nouvelle;Rue du Reckem;59960;NEUVILLE-EN-FERRAIN;FRANCE;FAUX;03 20 45 65 46;;
LIBERTY RAIL;LIBERTY RAIL;FAUX;FAUX;LIBERTY RAIL;;FIF = 101;;;;;;164 rue du Maréchal Foch;BP 10166;57705;HAYANGE Cedex;FRANCE;FAUX;;;
SMITHS CONNECTORS - HYPERTAC;SMITHS CONNECTO;FAUX;FAUX;SMITHS CONNECTORS - HYPERTAC;;FIF = 101;;;;;;31 rue Isidore Maille;;76410;SAINT-AUBIN-LES-ELBEUF;FRANCE;FAUX;;;
TE CONNECTIVITY;TE CONNECTIVITY;FAUX;FAUX;TYCO ELECTRONICS FRANCE;;FIF = 101;;;;;;ZAC du Monne;Rue du Champs du Verger;72705;ALLONNES;FRANCE;FAUX;;;
GLENAIR;GLENAIR;FAUX;FAUX;GLENAIR;;Non adhérents = 999;;;;;;Central Parc 2;7 avenue Parmentier;31200;TOULOUSE;FRANCE;FAUX;;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;9 quai de Seine;;93584;SAINT-OUEN Cedex;FRANCE;FAUX;;;
SAFT;SAFT;FAUX;FAUX;SAFT;;FIF = 101;;;;;;12 rue Sadi Carnot;;93170;BAGNOLET;FRANCE;FAUX;;;
SATEBA;SATEBA;FAUX;FAUX;SATEBA;;FIF = 101;;;;;;28 rue Beautreillis;;75004;PARIS;FRANCE;FAUX;;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;Technicentre Hellemmes;57 rue Ferdinand Mathias;59260;LILLE;FRANCE;FAUX;;;
SAFT;SAFT;FAUX;FAUX;SAFT;;FIF = 101;;;;;;26 quai Charles Pasqua;;92300;LEVALLOIS-PERRET;FRANCE;FAUX;;;
PROCONECT;PROCONECT;FAUX;FAUX;PROCONECT;;FIF = 101;;;;;;ZAC de la Pentecôte;7-9-11 rue Jean Rouxel;44700;ORVAULT;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;33 avenue du Commandant Lysiack;;17440;AYTRE;FRANCE;FAUX;;;
EMS CONCEPT;EMS CONCEPT;FAUX;FAUX;EMS CONCEPT;;FIF = 101;;;;;;18 rue du Maréchal Joffre;;67701;SAVERNE;FRANCE;FAUX;;;
BUREAU VERITAS EXPLOITATION;BUREAU VERITAS;FAUX;FAUX;BUREAU VERITAS;;Non adhérents = 999;;;;;;Le Triangle de l'Arche;8 cours du Triangle de l'Arche;92397;PARIS LA DEFENSE CEDEX;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;B-140;;E-08130;SANTA PERPETUA DE MOGODA;ESPAGNE;FAUX;;;
CSTB;CSTB;FAUX;FAUX;CENTRE SCIENTIFIQUE ET TECHNIQUE DU BATIMENT;;Non adhérents = 999;;Opérateur de normalisation;;;;84 avenue Jean Jaurès;;77447;MARNE LA VALLEE;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;8-10 rue de la Clé des Champs;;93400;SAINT-OUEN;FRANCE;FAUX;;;
DGT;DGT;FAUX;FAUX;DGT;;Non adhérents = 999;;;;;;39-43 Quai André Citroën;;75902;PARIS Cédex 15;FRANCE;FAUX;;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;57 rue Ferdinand Mathias;;59260;HELLEMMES;FRANCE;FAUX;;;
ALLO DIAGNOSTIC;ALLO DIAGNOSTIC;FAUX;FAUX;ALLO DIAGNOSTIC;;Non adhérents = 999;;;;;;Parc Saint-Fiacre;;53200;CHÂTEAU-GONTIER;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;ZI de Couperigne;Immeuble Les Chênes;13127;VITROLLES;FRANCE;FAUX;;;
NEXANS;NEXANS;FAUX;FAUX;NEXANS FRANCE;;FIF = 101;;;;;;210 avenue Jean Jaurès;;69007;LYON;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;22 rue du Printemps;;75017;PARIS;FRANCE;FAUX;;;
SETEC ITS;SETEC ITS;FAUX;FAUX;SETEC;;Non adhérents = 999;;;;;;42-52 quai de la Rapée;;75012;PARIS;FRANCE;FAUX;;;
CORYS;CORYS;FAUX;FAUX;CORYS;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;44 rue des Berges;;38024;GRENOBLE CEDEX;FRANCE;FAUX;;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;4 rue Angèle Marinez Koulikoff;;93210;LA PLAINE SAINT-DENIS;FRANCE;FAUX;;;Direction générale de l'Exploitation et Système - DGEX Solutions - Groupe Outils d'Optimisation
SNCF SA;SNCF SA;FAUX;FAUX;SNCF;;SNCF Voyageurs = 102;;;;;;1-3 avenue François Mitterrand;;F-93210;SAINT-DENIS;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;27 avenue de Lattre de Tassigny;;25920;ORNANS;FRANCE;FAUX;;;
